date,symbol,open,close,low,high,volume
06/04/2018,ETHUSD,380.99,386,363.91,369.08,11102323.93
07/04/2018,ETHUSD,370.2,395,370.19,384.92,4435414.76
08/04/2018,ETHUSD,384.92,404,384.5,400.94,4691225.78
09/04/2018,ETHUSD,400.94,430.61,388,398.88,18772054.89
10/04/2018,ETHUSD,398.88,418.68,391.14,415.01,8052632.73
11/04/2018,ETHUSD,415.01,433.33,410.43,429.98,10430197.48
12/04/2018,ETHUSD,429.98,498.25,400,494.14,45235958.32
13/04/2018,ETHUSD,494.14,529,481.27,495.2,30698752.56
14/04/2018,ETHUSD,495.2,514,486.97,502.21,7790041.18
15/04/2018,ETHUSD,502.21,534,502.21,534,11334675.08
16/04/2018,ETHUSD,534,538,498.98,511.49,13174755.56
17/04/2018,ETHUSD,511.49,520.91,499.72,502.68,14374948.99
18/04/2018,ETHUSD,502.68,526.21,500.95,525.26,13083740.26
19/04/2018,ETHUSD,525.26,568.79,521.07,566.26,16701894.99
20/04/2018,ETHUSD,566.26,624.99,557.24,618.13,28145502.78
21/04/2018,ETHUSD,617.01,624.08,575,605.76,11430005.37
22/04/2018,ETHUSD,605.76,642.9,591.47,621.26,15112240
23/04/2018,ETHUSD,621.26,647.85,618.41,643,19923348.93
24/04/2018,ETHUSD,643,710,642.99,703.72,37593917.05
25/04/2018,ETHUSD,703.72,703.78,595.55,617.5,51637886.09
26/04/2018,ETHUSD,617.5,665,599.38,661.08,24360035.76
27/04/2018,ETHUSD,661.08,685.56,640.04,643.09,19532202.58
28/04/2018,ETHUSD,643.09,692.98,640,682.85,11146420.06
29/04/2018,ETHUSD,682.85,699,666,689.69,9163242.39
30/04/2018,ETHUSD,689.69,693.82,661.18,669.58,16729656.46
01/05/2018,ETHUSD,669.58,674.89,628.24,669.5,22773977.27
02/05/2018,ETHUSD,669.5,689.29,661.8,685.07,18207607.34
03/05/2018,ETHUSD,685.07,784.99,684.82,774.98,37624317.18
04/05/2018,ETHUSD,774.98,802.86,758.63,781.28,25371678.34
05/05/2018,ETHUSD,781.28,824,777.22,815.15,17641042.54
06/05/2018,ETHUSD,815.15,833,749.18,785.76,20039249.47
07/05/2018,ETHUSD,785.76,790.76,691.92,751.28,45370943.77
08/05/2018,ETHUSD,751.28,775,720,747.29,22784041.41
09/05/2018,ETHUSD,747.29,760.64,700,750.82,32007639.78
10/05/2018,ETHUSD,750.82,767,719,722.95,25055661.04
11/05/2018,ETHUSD,722.95,736.23,665.68,677.32,34064069.94
12/05/2018,ETHUSD,684.66,691.41,640,683.5,13384009.38
13/05/2018,ETHUSD,683.5,739.76,670.01,729.3,10815153.26
14/05/2018,ETHUSD,729.3,741.72,685,728.15,35785220.81
15/05/2018,ETHUSD,728.15,738,694.16,706.11,27155849.85
16/05/2018,ETHUSD,706.11,710.53,677.08,706.95,16703752.83
17/05/2018,ETHUSD,706.95,718.76,661.01,668.8,19199179.28
18/05/2018,ETHUSD,668.8,692,657.02,691.14,22318621.95
19/05/2018,ETHUSD,691.14,715.96,670,696.64,13832377.94
20/05/2018,ETHUSD,696.64,722.92,687,713.5,8170040.19
21/05/2018,ETHUSD,713.5,717.81,686.76,696.21,9738367.88
22/05/2018,ETHUSD,696.21,699,636.3,642,22246721.19
23/05/2018,ETHUSD,642,648.69,553.16,573.94,33763467.59
24/05/2018,ETHUSD,573.94,609.77,545,602.08,29135285.49
25/05/2018,ETHUSD,602.08,615.99,569,584.6,19981844.66
26/05/2018,ETHUSD,584.6,606.1,568.58,584.8,8743491.43
27/05/2018,ETHUSD,584.8,591.19,556.82,569.23,6994195.99
28/05/2018,ETHUSD,569.23,574,506.82,511.37,15213092.58
29/05/2018,ETHUSD,511.37,572.73,511,566.72,16611324.93
30/05/2018,ETHUSD,566.72,585,542,557.11,22475165.83
31/05/2018,ETHUSD,557.11,584.99,552.99,577.3,14181804.49
01/06/2018,ETHUSD,577.3,588.61,564.01,578.75,10476090.34
02/06/2018,ETHUSD,578.75,599.95,574,590.62,7907573.69
03/06/2018,ETHUSD,590.62,628,590,618.49,4366113.02
04/06/2018,ETHUSD,618.49,624.84,579.12,590.66,10319798.14
05/06/2018,ETHUSD,590.66,612,575,607.31,16740546.61
06/06/2018,ETHUSD,607.31,611.81,592.84,605.79,9328061.66
07/06/2018,ETHUSD,605.79,615.42,598.18,604.83,12947096.95
08/06/2018,ETHUSD,604.83,607,591.28,602.61,11554990.15
09/06/2018,ETHUSD,602.61,608.92,590,592.69,4772168.9
10/06/2018,ETHUSD,592.69,592.69,503.72,525,15717773.07
11/06/2018,ETHUSD,525,536.01,507.69,531.59,17433645.36
12/06/2018,ETHUSD,531.59,538.21,485,494.57,23683309.03
13/06/2018,ETHUSD,494.57,502.37,450.84,477.4,30458680.42
14/06/2018,ETHUSD,477.4,526.1,460,519.82,26327219.51
15/06/2018,ETHUSD,519.82,520.98,482.84,487.52,29456908.16
16/06/2018,ETHUSD,487.52,502.52,484.17,497.72,5248185.08
17/06/2018,ETHUSD,497.72,507.88,493.76,496.58,3468061.4
18/06/2018,ETHUSD,496.58,524.44,487.32,517.47,7746750.84
19/06/2018,ETHUSD,517.47,547,514.2,539.82,10086508.82
20/06/2018,ETHUSD,539.82,541.3,517.1,536.4,9051537.82
21/06/2018,ETHUSD,536.4,545,521.8,525.33,6529547.69
22/06/2018,ETHUSD,525.33,525.52,450,463.32,26953910
23/06/2018,ETHUSD,463.32,480.33,457.4,474.78,4710987.62
24/06/2018,ETHUSD,474.78,476.15,420.32,455.35,30005082.91
25/06/2018,ETHUSD,455.35,472.75,444.8,457.94,12558191.59
26/06/2018,ETHUSD,457.94,461,429.41,429.41,12493826.41
27/06/2018,ETHUSD,429.41,445.45,418.85,441.64,12120627.11
28/06/2018,ETHUSD,441.64,444,416.87,420.4,7188545.19
29/06/2018,ETHUSD,420.4,442.73,403.19,434.86,18830939.97
30/06/2018,ETHUSD,434.86,461,434.86,453.67,5434884.71
01/07/2018,ETHUSD,453.67,455.92,444.65,452.09,3423183.29
02/07/2018,ETHUSD,452.09,481.9,444.05,476.74,8812247.24
03/07/2018,ETHUSD,476.74,485.67,457.6,461.96,13942003.75
04/07/2018,ETHUSD,461.96,481.6,451.22,467.15,8627336.98
05/07/2018,ETHUSD,467.15,478.07,457.75,467.94,9529836.63
06/07/2018,ETHUSD,467.94,475,450.04,467.48,4911465.9
07/07/2018,ETHUSD,468.3,486.3,461.31,486,3296597.25
08/07/2018,ETHUSD,486,495,481.01,485.87,5584120.07
09/07/2018,ETHUSD,485.87,487.88,468.84,471.04,6480881.09
10/07/2018,ETHUSD,471.04,473.57,427.11,433.12,14444606.25
11/07/2018,ETHUSD,433.12,447.3,425.08,445.58,5723560.4
12/07/2018,ETHUSD,445.58,445.72,418.47,430.98,4817703.52
13/07/2018,ETHUSD,430.98,441.95,425.16,431,4484491.11
14/07/2018,ETHUSD,431,440.57,428.7,433.59,1145631.77
15/07/2018,ETHUSD,433.59,454.27,431.32,448.77,2405814.14
16/07/2018,ETHUSD,448.77,480,444,478.71,6698361.13
17/07/2018,ETHUSD,478.71,511.11,465.53,499.11,16477578.34
18/07/2018,ETHUSD,499.11,515.88,470.1,478.81,12402282.36
19/07/2018,ETHUSD,478.81,483.36,462.06,468.83,9165534.39
20/07/2018,ETHUSD,468.83,469.22,441,450.24,11450385.56
